"hazard","offers_before_rescue","strata"
0.0029980199171002,0,"esp_donor=0, donor_country=Austria"
0.00905276522710717,1,"esp_donor=0, donor_country=Austria"
0.0131112611036734,2,"esp_donor=0, donor_country=Austria"
0.0156910704950494,3,"esp_donor=0, donor_country=Austria"
0.0228382703344649,4,"esp_donor=0, donor_country=Austria"
0.0508877402828906,5,"esp_donor=0, donor_country=Austria"
0.0908287449491634,6,"esp_donor=0, donor_country=Austria"
0.157011859210156,7,"esp_donor=0, donor_country=Austria"
0.194053774853933,8,"esp_donor=0, donor_country=Austria"
0.215486879642908,9,"esp_donor=0, donor_country=Austria"
0.277294069063145,10,"esp_donor=0, donor_country=Austria"
0.277294069063145,11,"esp_donor=0, donor_country=Austria"
0.306501555294343,12,"esp_donor=0, donor_country=Austria"
0.306501555294343,13,"esp_donor=0, donor_country=Austria"
0.306501555294343,14,"esp_donor=0, donor_country=Austria"
0.00116130859330511,0,"esp_donor=0, donor_country=Belgium"
0.00310341446018419,1,"esp_donor=0, donor_country=Belgium"
0.00843411610686841,2,"esp_donor=0, donor_country=Belgium"
0.0145846591713723,3,"esp_donor=0, donor_country=Belgium"
0.0287016505822955,4,"esp_donor=0, donor_country=Belgium"
0.0597570100619355,5,"esp_donor=0, donor_country=Belgium"
0.113001239401171,6,"esp_donor=0, donor_country=Belgium"
0.189148137080819,7,"esp_donor=0, donor_country=Belgium"
0.255760973160213,8,"esp_donor=0, donor_country=Belgium"
0.358812142241235,9,"esp_donor=0, donor_country=Belgium"
0.428860820599985,10,"esp_donor=0, donor_country=Belgium"
0.53410770614435,11,"esp_donor=0, donor_country=Belgium"
0.608086959048749,12,"esp_donor=0, donor_country=Belgium"
0.694818276488729,13,"esp_donor=0, donor_country=Belgium"
0.694818276488729,14,"esp_donor=0, donor_country=Belgium"
0.900610432629196,15,"esp_donor=0, donor_country=Belgium"
1.00090723920167,16,"esp_donor=0, donor_country=Belgium"
1.18144500911734,17,"esp_donor=0, donor_country=Belgium"
1.18144500911734,18,"esp_donor=0, donor_country=Belgium"
1.18144500911734,19,"esp_donor=0, donor_country=Belgium"
0.0046786514655206,0,"esp_donor=0, donor_country=Croatia"
0.00750819104414118,1,"esp_donor=0, donor_country=Croatia"
0.0126858092950279,2,"esp_donor=0, donor_country=Croatia"
0.0179800273703042,3,"esp_donor=0, donor_country=Croatia"
0.0375671873747946,4,"esp_donor=0, donor_country=Croatia"
0.0815536281202233,5,"esp_donor=0, donor_country=Croatia"
0.125122129898361,6,"esp_donor=0, donor_country=Croatia"
0.201816457820029,7,"esp_donor=0, donor_country=Croatia"
0.265543443312898,8,"esp_donor=0, donor_country=Croatia"
0.335582545069858,9,"esp_donor=0, donor_country=Croatia"
0.440962963486052,10,"esp_donor=0, donor_country=Croatia"
0.505149762437301,11,"esp_donor=0, donor_country=Croatia"
0.762464210971186,12,"esp_donor=0, donor_country=Croatia"
0.762464210971186,13,"esp_donor=0, donor_country=Croatia"
1.76285464307072,15,"esp_donor=0, donor_country=Croatia"
0.00294509921760276,0,"esp_donor=0, donor_country=Germany"
0.00569510464242028,1,"esp_donor=0, donor_country=Germany"
0.0111897321735149,2,"esp_donor=0, donor_country=Germany"
0.0166891751159795,3,"esp_donor=0, donor_country=Germany"
0.0263160268628263,4,"esp_donor=0, donor_country=Germany"
0.0494949880148123,5,"esp_donor=0, donor_country=Germany"
0.0999418043689141,6,"esp_donor=0, donor_country=Germany"
0.168454538874789,7,"esp_donor=0, donor_country=Germany"
0.233635463955708,8,"esp_donor=0, donor_country=Germany"
0.323443848191626,9,"esp_donor=0, donor_country=Germany"
0.401603978607,10,"esp_donor=0, donor_country=Germany"
0.497401727359295,11,"esp_donor=0, donor_country=Germany"
0.571240790269791,12,"esp_donor=0, donor_country=Germany"
0.642011457279111,13,"esp_donor=0, donor_country=Germany"
0.798307067534387,14,"esp_donor=0, donor_country=Germany"
0.840416839681459,15,"esp_donor=0, donor_country=Germany"
1.00600127783968,16,"esp_donor=0, donor_country=Germany"
1.16587181534822,18,"esp_donor=0, donor_country=Germany"
1.4791269728771,20,"esp_donor=0, donor_country=Germany"
1.4791269728771,23,"esp_donor=0, donor_country=Germany"
0.00239636982255328,0,"esp_donor=0, donor_country=Hungary"
0.00601400972609686,1,"esp_donor=0, donor_country=Hungary"
0.00862805957014921,2,"esp_donor=0, donor_country=Hungary"
0.0124874151004274,3,"esp_donor=0, donor_country=Hungary"
0.0143101152349407,4,"esp_donor=0, donor_country=Hungary"
0.0222457156540383,5,"esp_donor=0, donor_country=Hungary"
0.0408456016894092,6,"esp_donor=0, donor_country=Hungary"
0.0659781582683743,7,"esp_donor=0, donor_country=Hungary"
0.0877197282506948,8,"esp_donor=0, donor_country=Hungary"
0.106431700880793,9,"esp_donor=0, donor_country=Hungary"
0.123379776584037,10,"esp_donor=0, donor_country=Hungary"
0.141815897184511,11,"esp_donor=0, donor_country=Hungary"
0.156897530973796,12,"esp_donor=0, donor_country=Hungary"
0.156897530973796,13,"esp_donor=0, donor_country=Hungary"
0.156897530973796,14,"esp_donor=0, donor_country=Hungary"
0.156897530973796,15,"esp_donor=0, donor_country=Hungary"
0.156897530973796,16,"esp_donor=0, donor_country=Hungary"
0.156897530973796,17,"esp_donor=0, donor_country=Hungary"
0.156897530973796,18,"esp_donor=0, donor_country=Hungary"
0.416564536653575,20,"esp_donor=0, donor_country=Hungary"
0.416564536653575,25,"esp_donor=0, donor_country=Hungary"
0.00178055803248799,0,"esp_donor=0, donor_country=Netherlands"
0.00446310311451102,1,"esp_donor=0, donor_country=Netherlands"
0.00850320794723583,2,"esp_donor=0, donor_country=Netherlands"
0.0149347783541623,3,"esp_donor=0, donor_country=Netherlands"
0.0240772034477102,4,"esp_donor=0, donor_country=Netherlands"
0.0591026234985843,5,"esp_donor=0, donor_country=Netherlands"
0.0922969049742282,6,"esp_donor=0, donor_country=Netherlands"
0.144393112723746,7,"esp_donor=0, donor_country=Netherlands"
0.223064878792728,8,"esp_donor=0, donor_country=Netherlands"
0.289518842082181,9,"esp_donor=0, donor_country=Netherlands"
0.372588249677598,10,"esp_donor=0, donor_country=Netherlands"
0.372588249677598,11,"esp_donor=0, donor_country=Netherlands"
0.449286931885187,12,"esp_donor=0, donor_country=Netherlands"
0.596530193724727,14,"esp_donor=0, donor_country=Netherlands"
0.952552892082155,16,"esp_donor=0, donor_country=Netherlands"
0.0191291409715943,0,"esp_donor=0, donor_country=Slovenia"
0.0290070978966061,1,"esp_donor=0, donor_country=Slovenia"
0.0378263636388822,2,"esp_donor=0, donor_country=Slovenia"
0.0416486606071695,3,"esp_donor=0, donor_country=Slovenia"
0.046314253882941,4,"esp_donor=0, donor_country=Slovenia"
0.0575479388633874,5,"esp_donor=0, donor_country=Slovenia"
0.0937092854524805,6,"esp_donor=0, donor_country=Slovenia"
0.129705468018338,7,"esp_donor=0, donor_country=Slovenia"
0.197296717968138,8,"esp_donor=0, donor_country=Slovenia"
0.242379477939958,9,"esp_donor=0, donor_country=Slovenia"
0.348247932903156,10,"esp_donor=0, donor_country=Slovenia"
0.396498927076104,11,"esp_donor=0, donor_country=Slovenia"
0.618447215858113,12,"esp_donor=0, donor_country=Slovenia"
0.8962155972237,13,"esp_donor=0, donor_country=Slovenia"
1.525901856172,14,"esp_donor=0, donor_country=Slovenia"
0.0111834756182223,0,"esp_donor=1"
0.0267379963756357,1,"esp_donor=1"
0.0414151304342665,2,"esp_donor=1"
0.0628648293087177,3,"esp_donor=1"
0.0921216459088191,4,"esp_donor=1"
0.138023129677792,5,"esp_donor=1"
0.19500636602747,6,"esp_donor=1"
0.284005115012562,7,"esp_donor=1"
0.33539935626041,8,"esp_donor=1"
0.416737886903754,9,"esp_donor=1"
0.519558163752577,10,"esp_donor=1"
0.539834249999283,11,"esp_donor=1"
0.693757374941256,12,"esp_donor=1"
0.798162274577032,13,"esp_donor=1"
0.883663002521077,14,"esp_donor=1"
